# Peak Mean
2.930000	0.000000
2.931000	0.000000
2.932000	0.000000
2.933000	0.000000
2.934000	0.000000
2.935000	0.000000
2.936000	0.000000
2.937000	0.000000
2.938000	2.000000
2.939000	5.000000
2.940000	13.000000
2.941000	9.000000
2.942000	4.000000
2.943000	6.000000
2.944000	2.000000
2.945000	8.000000
2.946000	4.000000
2.947000	5.000000
2.948000	5.000000
2.949000	5.000000
2.950000	4.000000
2.951000	2.000000
2.952000	5.000000
2.953000	3.000000
2.954000	2.000000
2.955000	8.000000
2.956000	6.000000
2.957000	0.000000
2.958000	2.000000
2.959000	3.000000
2.960000	1.000000
2.961000	3.000000
2.962000	1.000000
2.963000	4.000000
2.964000	1.000000
2.965000	1.000000
2.966000	1.000000
2.967000	0.000000
2.968000	0.000000
2.969000	0.000000

# Normalized Peak Area
0.000000	4.000000
0.037500	2.000000
0.075000	1.000000
0.112500	1.000000
0.150000	2.000000
0.187500	0.000000
0.225000	2.000000
0.262500	0.000000
0.300000	2.000000
0.337500	0.000000
0.375000	0.000000
0.412500	2.000000
0.450000	0.000000
0.487500	0.000000
0.525000	0.000000
0.562500	0.000000
0.600000	0.000000
0.637500	0.000000
0.675000	1.000000
0.712500	1.000000
0.750000	2.000000
0.787500	0.000000
0.825000	2.000000
0.862500	1.000000
0.900000	2.000000
0.937500	0.000000
0.975000	9.000000
1.012500	3.000000
1.050000	5.000000
1.087500	3.000000
1.125000	3.000000
1.162500	8.000000
1.200000	2.000000
1.237500	1.000000
1.275000	2.000000
1.312500	3.000000
1.350000	4.000000
1.387500	4.000000
1.425000	3.000000
1.462500	5.000000

# Peak FWHM
0.000000	0.000000
0.001000	0.000000
0.002000	0.000000
0.003000	0.000000
0.004000	0.000000
0.005000	0.000000
0.006000	0.000000
0.007000	0.000000
0.008000	0.000000
0.009000	0.000000
0.010000	0.000000
0.011000	0.000000
0.012000	0.000000
0.013000	0.000000
0.014000	3.000000
0.015000	0.000000
0.016000	8.000000
0.017000	0.000000
0.018000	10.000000
0.019000	0.000000
0.020000	6.000000
0.021000	0.000000
0.022000	5.000000
0.023000	0.000000
0.024000	2.000000
0.025000	0.000000
0.026000	5.000000
0.027000	0.000000
0.028000	0.000000
0.029000	0.000000
0.030000	2.000000
0.031000	0.000000
0.032000	3.000000
0.033000	0.000000
0.034000	3.000000
0.035000	0.000000
0.036000	5.000000
0.037000	0.000000
0.038000	3.000000
0.039000	0.000000
